GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tinyurl,com.example.tinyurl.controller,UserController,0,169,0,8,0,47,0,15,0,11
tinyurl,com.example.tinyurl.controller,UrlController,84,60,4,2,22,17,7,5,5,4
tinyurl,com.example.tinyurl.service,UrlService,369,649,29,39,64,131,35,38,15,24
tinyurl,com.example.tinyurl.service,UserService,58,427,3,21,9,80,7,27,4,18
tinyurl,com.example.tinyurl.service,TokenAuthenticationService,12,66,5,5,7,18,5,3,0,3
tinyurl,com.example.tinyurl.service,AnalyticsService,72,366,7,21,18,88,11,27,4,15
tinyurl,com.example.tinyurl.service,RateLimitService,19,85,2,4,4,16,2,7,0,6
tinyurl,com.example.tinyurl.scheduler,AnalyticsDumpScheduler,119,149,9,7,19,31,12,8,4,7
tinyurl,com.example.tinyurl.util,AESUtil,10,102,0,4,3,22,1,4,1,2
tinyurl,com.example.tinyurl.util,CustomAuthentication,11,27,0,0,5,9,4,5,4,5
tinyurl,com.example.tinyurl.util,Base62Util,3,88,0,12,1,19,1,8,1,2
tinyurl,com.example.tinyurl.util,CryptoUtil,3,31,0,2,1,6,1,3,1,2
tinyurl,com.example.tinyurl.entity,CustomUrlCode,0,9,0,0,0,4,0,1,0,1
tinyurl,com.example.tinyurl.entity,ShortUrl,9,16,0,0,4,7,1,2,1,2
tinyurl,com.example.tinyurl.entity,User,0,28,0,0,0,13,0,4,0,4
tinyurl,com.example.tinyurl.entity,ShortUrlClickAnalytics,44,13,8,0,10,4,8,1,4,1
tinyurl,com.example.tinyurl.config,ReactiveUserDetailsServiceImpl,48,0,2,0,12,0,4,0,3,0
tinyurl,com.example.tinyurl.config,OpenApiConfig,0,38,0,0,0,12,0,2,0,2
tinyurl,com.example.tinyurl.config,SecurityConfig,11,120,2,0,3,23,3,10,2,10
tinyurl,com.example.tinyurl.config,CustomServerAuthenticationEntryPoint,4,42,0,0,2,9,0,2,0,2
tinyurl,com.example.tinyurl,TinyurlApplication,8,3,0,0,3,1,1,1,1,1
tinyurl,com.example.tinyurl.filter,RateLimitWebFilter,81,62,10,6,16,15,8,6,2,4
tinyurl,com.example.tinyurl.filter,BearerTokenAuthenticationFilter,8,99,6,16,1,24,5,10,0,4
